"Country","FUEL","FUELTYPE","MW","STATUS","STYPE","Year","RETIRE"
"BB","COAL","BIT",44,"OPR","SUBCR",1999,
"BB","COAL","LIG",9,"OPR","SUBCR",1957,
"BB","COAL","LIG",9,"OPR","SUBCR",1958,
"BB","COAL","LIG",32,"OPR","SUBCR",1973,
"BB","COAL","LIG",32,"OPR","SUBCR",1978,
"BB","COAL","LIG",30.5,"OPR","SUBCR",2006,
"BB","COAL","LIG",5,"OPR","SUBCR",1950,
"BB","COAL","LIG",12,"OPR","SUBCR",,
"BB","COAL","LIG",12,"OPR","SUBCR",1969,
"BB","COAL","",8,"RET","SUBCR",1954,
"BB","COAL","",41,"OPR","SUBCR",1998,
"BB","COAL","LIG",60,"OPR","SUBCR",1958,
"BB","COAL","LIG",60,"OPR","SUBCR",1958,
"BB","COAL","LIG",63,"OPR","SUBCR",1959,
"BB","COAL","LIG",60,"OPR","SUBCR",1959,
"BB","COAL","LIG",60,"RET","SUBCR",1959,
"BB","COAL","LIG",65,"OPR","SUBCR",2020,
"BB","COAL","LIG",60,"OPR","SUBCR",1959,
"BB","COAL","",22,"RET","SUBCR",1949,
"BB","COAL","",25,"OPR","SUBCR",1970,
"BB","COAL","",25,"OPR","SUBCR",1970,
"BB","COAL","BIT",20.8,"OPR","SUBCR",1983,
"BB","COAL","BIT",20.8,"OPR","SUBCR",1983,
"BB","COAL","LIG",6,"OPR","SUBCR",1987,
"BB","COAL","LIG",1.8,"OPR","SUBCR",1997,
"BB","COAL","LIG",12,"RET","SUBCR",,
"BB","COAL","LIG",46.5,"OPR","SUBCR",1999,
"CC","COAL","BIT",125,"RET","SUBCR",1970,2018
"CC","COAL","BIT",210,"OPR","SUBCR",2000,
"BB","COAL","LIG",70,"OPR","SUBCR",1984,
"BB","COAL","",5,"OPR","SUBCR",1989,
"BB","COAL","LIG",30.5,"OPR","SUBCR",1960,
"BB","COAL","LIG",33,"OPR","SUBCR",1984,
"BB","COAL","LIG",26.5,"OPR","SUBCR",1997,
"BB","COAL","LIG",200,"RET","SUBCR",1968,1993
"BB","COAL","LIG",200,"OPR","SUBCR",1970,
"BB","COAL","LIG",200,"OPR","SUBCR",1970,
"BB","COAL","LIG",200,"OPR","SUBCR",1971,
"BB","COAL","LIG",200,"OPR","SUBCR",1977,
"BB","COAL","LIG",200,"OPR","SUBCR",1977,
"BB","COAL","BIT",5,"RET","SUBCR",,
"BB","COAL","BIT",5,"RET","SUBCR",,
"BB","COAL","BIT",1,"RET","SUBCR",,
"BB","COAL","BIT",20,"RET","SUBCR",,
"BB","COAL","",55,"OPR","SUBCR",1957,
"BB","COAL","",55,"OPR","SUBCR",1958,
"BB","COAL","",40,"OPR","SUBCR",1996,
"BB","COAL","",4.385,"OPR","SUBCR",1995,
"BB","COAL","LIG",110,"RET","SUBCR",1966,1991
